@relation all_data_pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L5

@attribute 'Legal action North' {False,True}
@attribute 'Legal action South' {False,True}
@attribute 'Legal action East' {False,True}
@attribute 'Legal action West' {False,True}
@attribute 'North ghost 1' numeric
@attribute 'South ghost 1' numeric
@attribute 'East ghost 1' numeric
@attribute 'West ghost 1' numeric
@attribute 'North ghost 2' numeric
@attribute 'South ghost 2' numeric
@attribute 'East ghost 2' numeric
@attribute 'West ghost 2' numeric
@attribute 'North ghost 3' numeric
@attribute 'South ghost 3' numeric
@attribute 'East ghost 3' numeric
@attribute 'West ghost 3' numeric
@attribute 'North ghost 4' numeric
@attribute 'South ghost 4' numeric
@attribute 'East ghost 4' numeric
@attribute 'West ghost 4' numeric
@attribute 'Pacman direction' {North,South,East,West,Stop}
@attribute 'Current score' numeric
@attribute 'Future score' numeric

@data
True,True,True,False,16,18,18,?,7,9,9,?,?,?,?,?,4,2,4,?,South,190,389
True,True,True,False,16,18,18,?,9,11,11,?,?,?,?,?,2,0,2,?,South,389,388
True,True,True,False,15,17,17,?,7,9,9,?,?,?,?,?,?,?,?,?,North,388,387
True,True,True,True,13,15,15,15,9,9,9,7,?,?,?,?,?,?,?,?,North,387,386
True,False,True,True,15,?,15,17,8,?,8,6,?,?,?,?,?,?,?,?,West,386,385
True,True,True,True,15,17,15,17,8,6,8,6,?,?,?,?,?,?,?,?,West,385,384
True,True,False,True,15,17,?,17,7,5,?,5,?,?,?,?,?,?,?,?,South,384,383
True,False,False,True,15,?,?,17,7,?,?,5,?,?,?,?,?,?,?,?,South,383,382
True,False,True,True,15,?,15,17,6,?,6,4,?,?,?,?,?,?,?,?,West,382,381
True,True,True,True,17,19,17,19,5,5,5,3,?,?,?,?,?,?,?,?,West,381,380
True,True,True,True,17,19,17,19,3,3,3,1,?,?,?,?,?,?,?,?,West,380,379
False,True,True,True,?,19,17,19,?,3,3,1,?,?,?,?,?,?,?,?,West,379,578
False,True,True,True,?,19,17,19,?,?,?,?,?,?,?,?,?,?,?,?,West,578,577
False,True,True,True,?,18,16,18,?,?,?,?,?,?,?,?,?,?,?,?,East,577,576
True,True,True,True,14,16,14,16,?,?,?,?,?,?,?,?,?,?,?,?,East,576,575
True,True,True,False,14,16,14,?,?,?,?,?,?,?,?,?,?,?,?,?,North,575,574
True,True,True,True,13,15,13,15,?,?,?,?,?,?,?,?,?,?,?,?,North,574,573
False,True,True,True,?,15,13,15,?,?,?,?,?,?,?,?,?,?,?,?,North,573,572
False,True,True,True,?,14,12,14,?,?,?,?,?,?,?,?,?,?,?,?,East,572,571
False,True,True,True,?,12,10,12,?,?,?,?,?,?,?,?,?,?,?,?,East,571,570
False,True,True,True,?,12,10,12,?,?,?,?,?,?,?,?,?,?,?,?,East,570,569
False,True,True,True,?,10,8,10,?,?,?,?,?,?,?,?,?,?,?,?,East,569,568
True,True,True,True,7,9,9,9,?,?,?,?,?,?,?,?,?,?,?,?,East,568,567
